,predicted,position,first_name,second_name,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,influence,creativity,threat
177,DEF,MID,Joe,Ayodele-Aribo,5.2,41,1054,2,0,1,2,0,3,202.6,131.9,344.0
256,DEF,DEF,Antonee,Robinson,4.4,40,1378,0,0,5,4,0,1,233.0,175.9,31.0
93,DEF,MID,Jadon,Sancho,7.1,40,714,2,1,5,0,0,4,136.4,194.5,173.0
128,DEF,DEF,Rúben,Gato Alves Dias,5.9,40,871,0,0,5,0,0,0,168.0,44.5,65.0
60,DEF,MID,Kaoru,Mitoma,4.9,40,565,3,2,1,0,0,1,198.2,153.9,239.0
110,MID,FWD,Odsonne,Edouard,5.2,40,779,3,2,2,3,0,3,219.4,132.1,319.0
286,DEF,DEF,Ezri,Konsa Ngoyo,4.4,40,1477,0,0,4,3,0,1,236.0,61.5,23.0
309,DEF,DEF,Adam,Smith,4.4,40,1547,0,1,4,5,0,5,258.6,133.3,67.0
139,DEF,DEF,Joseph,Gomez,4.4,40,900,0,0,4,2,0,5,186.0,28.2,15.0
106,DEF,DEF,Serge,Aurier,4.5,39,759,1,0,4,1,0,4,182.2,73.2,37.0
69,DEF,MID,Luis,Díaz,7.8,39,613,3,2,2,2,0,4,174.8,99.5,279.0
124,DEF,MID,Dwight,McNeil,5.2,39,838,2,1,0,2,0,3,194.8,196.8,167.0
268,MID,MID,Moisés,Caicedo Corozo,5.0,39,1426,1,1,4,5,0,0,277.2,292.6,135.0
172,DEF,DEF,Marc,Cucurella Saseta,5.2,39,1026,0,2,3,2,0,1,212.0,168.1,62.0
265,DEF,DEF,Aaron,Cresswell,4.8,39,1421,0,0,3,2,0,3,287.0,467.9,61.0
208,DEF,DEF,Lisandro,Martínez,4.5,39,1206,0,0,5,3,0,1,292.8,51.9,37.0
183,DEF,DEF,Wout,Faes,4.4,38,1080,0,0,6,1,0,1,242.0,46.2,41.0
90,DEF,MID,Jack,Grealish,6.8,38,704,1,3,4,0,0,2,124.6,250.2,250.0
167,DEF,MID,Harvey,Elliott,4.9,37,1008,1,1,2,1,0,2,165.4,256.5,257.0
134,FWD,FWD,Gianluca,Scamacca,6.6,37,886,3,0,3,3,0,5,114.8,148.0,297.0
164,FWD,FWD,Danny,Welbeck,6.5,37,995,0,4,4,0,0,2,102.4,176.6,388.0
143,DEF,DEF,Kalidou,Koulibaly,5.5,37,922,1,0,4,2,1,2,215.6,62.2,92.0
198,DEF,DEF,Joel,Ward,4.5,37,1178,0,0,4,4,0,3,184.2,40.7,12.0
55,DEF,MID,Riyad,Mahrez,7.5,36,545,1,3,2,1,0,4,126.2,277.3,217.0
20,DEF,MID,Allan,Saint-Maximin,6.2,36,412,1,4,2,1,0,4,134.0,119.0,179.0
212,DEF,MID,Amadou,Onana,4.8,36,1214,0,2,5,5,0,0,152.6,115.0,139.0
260,DEF,DEF,Marc,Guéhi,4.4,36,1395,0,0,4,5,0,1,277.2,32.2,68.0
204,DEF,MID,João Filipe Iria,Santos Moutinho,4.7,36,1190,0,2,4,2,0,0,187.2,321.3,87.0
130,DEF,FWD,Adam,Armstrong,5.5,36,876,1,1,1,0,0,3,117.4,130.9,183.0
217,DEF,MID,John,McGinn,5.1,36,1222,0,2,3,4,0,0,178.6,147.6,201.0
159,MID,DEF,Kenny,Tete,4.4,36,978,0,4,3,6,0,0,288.8,157.5,55.0
142,DEF,DEF,John,Stones,5.4,36,910,0,2,3,1,0,3,160.2,93.8,85.0
226,DEF,MID,Ryan,Yates,5.0,36,1278,0,2,4,4,0,0,162.2,61.3,205.0
113,DEF,DEF,Issa,Diop,4.3,35,784,1,0,3,1,0,3,183.4,18.8,74.0
91,MID,MID,Neeskens,Kebano,5.4,35,711,0,4,3,0,0,0,105.0,152.3,106.0
232,DEF,DEF,Thilo,Kehrer,4.5,35,1306,0,1,3,4,0,2,163.2,40.2,64.0
94,DEF,FWD,Michail,Antonio,7.0,35,714,2,1,1,1,0,3,120.6,87.9,271.0
174,DEF,DEF,Lucas,Digne,4.6,34,1035,1,0,2,2,0,4,212.0,214.2,72.0
211,DEF,MID,Marc,Roca Junqué,4.8,34,1213,1,1,1,4,0,1,243.4,149.9,193.0
102,DEF,DEF,Tyrell,Malacia,4.2,34,746,0,0,4,3,0,5,114.8,46.0,45.0
74,DEF,MID,Antony Matheus,dos Santos,7.4,34,646,3,0,4,1,0,1,158.6,118.9,315.0
122,DEF,MID,Pablo,Fornals Malla,5.0,34,834,1,0,1,0,0,3,116.8,147.1,84.0
220,DEF,DEF,Nathan,Collins,4.4,34,1247,0,0,3,2,1,6,276.6,33.3,16.0
132,DEF,DEF,Manuel,Akanji,5.0,34,881,0,1,3,1,0,2,142.6,60.5,100.0
196,DEF,DEF,Adam,Webster,4.5,33,1170,0,0,4,1,0,0,181.8,46.7,71.0
46,MID,MID,Jacob,Murphy,4.3,33,514,1,1,2,0,0,1,90.8,108.7,195.0
150,DEF,DEF,Jordan,Zemura,4.4,33,945,0,1,4,1,0,1,173.8,151.8,36.0
65,DEF,MID,Christian,Nørgaard,5.3,33,598,1,3,2,0,0,2,168.4,57.6,135.0
235,MID,MID,Jeffrey,Schlupp,4.7,33,1310,0,0,5,3,0,0,145.0,100.3,119.0
27,DEF,FWD,Chris,Wood,5.6,33,436,2,0,3,0,0,4,99.2,40.2,116.0
168,DEF,DEF,Tyrick,Mitchell,4.4,33,1008,0,2,2,2,1,4,165.2,79.6,52.0
7,DEF,FWD,Julián,Álvarez,6.0,33,357,3,0,2,0,0,5,138.2,80.1,161.0
171,DEF,MID,Matheus Luiz,Nunes,4.8,33,1024,0,1,3,1,0,3,120.2,174.5,155.0
117,DEF,MID,Lucas,Tolentino Coelho de Lima,5.9,33,805,1,2,1,2,0,3,139.6,144.4,233.0
214,MID,MID,Mohamed,Elyounoussi,5.2,32,1215,0,1,1,3,0,0,160.0,193.3,266.0
