,Rank,Player,Fee(€ mln)
0,1,Neymar,222
1,2,Kylian Mbappé,180
2,3,Philippe Coutinho,145
3,4,João Félix,126
4,5,Antoine Griezmann,120
5,6,Jack Grealish,117
6,7,Romelu Lukaku,115
7,8,Ousmane Dembélé,105
8,8,Paul Pogba,105
9,10,Eden Hazard,100
10,10,Cristiano Ronaldo,100
11,10,Gareth Bale,100
12,13,Antony,95
13,14,Cristiano Ronaldo,94
14,15,Gonzalo Higuaín,90
15,16,Harry Maguire,87
16,17,Romelu Lukaku,85
17,17,Jadon Sancho,85
18,19,Virgil van Dijk,85
19,20,Kai Havertz,84
