Country,Most Popular Team,% of search queries against the other Big 4 teams
Lebanon,Liverpool F.C.: (12/2/21 - 12/2/22),33
St. Vincent & Grenadines,Manchester United F.C.: (12/2/21 - 12/2/22),28
Trinidad & Tobago,Manchester United F.C.: (12/2/21 - 12/2/22),34
Colombia,Liverpool F.C.: (12/2/21 - 12/2/22),42
Paraguay,Manchester United F.C.: (12/2/21 - 12/2/22),37
Cayman Islands,Manchester United F.C.: (12/2/21 - 12/2/22),29
Iceland,Liverpool F.C.: (12/2/21 - 12/2/22),39
Norway,Liverpool F.C.: (12/2/21 - 12/2/22),33
Greenland,Liverpool F.C.: (12/2/21 - 12/2/22),37
Cyprus,Liverpool F.C.: (12/2/21 - 12/2/22),32
Kyrgyzstan,Manchester United F.C.: (12/2/21 - 12/2/22),31
Uruguay,Liverpool F.C.: (12/2/21 - 12/2/22),40
St. Kitts & Nevis,Manchester United F.C.: (12/2/21 - 12/2/22),31
Saudi Arabia,Liverpool F.C.: (12/2/21 - 12/2/22),41
Western Sahara,Liverpool F.C.: (12/2/21 - 12/2/22),28
Honduras,Manchester United F.C.: (12/2/21 - 12/2/22),35
Nicaragua,Manchester United F.C.: (12/2/21 - 12/2/22),41
United Arab Emirates,Manchester United F.C.: (12/2/21 - 12/2/22),30
Uzbekistan,Manchester United F.C.: (12/2/21 - 12/2/22),32
Suriname,Manchester United F.C.: (12/2/21 - 12/2/22),29
Kiribati,Manchester United F.C.: (12/2/21 - 12/2/22),42
El Salvador,Manchester City F.C.: (12/2/21 - 12/2/22),33
Afghanistan,Manchester United F.C.: (12/2/21 - 12/2/22),36
Turks & Caicos Islands,Manchester United F.C.: (12/2/21 - 12/2/22),31
Bahrain,Liverpool F.C.: (12/2/21 - 12/2/22),31
Peru,Manchester City F.C.: (12/2/21 - 12/2/22),27
Tunisia,Liverpool F.C.: (12/2/21 - 12/2/22),31
French Guiana,Liverpool F.C.: (12/2/21 - 12/2/22),27
Guyana,Manchester United F.C.: (12/2/21 - 12/2/22),32
Bangladesh,Manchester United F.C.: (12/2/21 - 12/2/22),29
Svalbard & Jan Mayen,Liverpool F.C.: (12/2/21 - 12/2/22),100
Belize,Manchester United F.C.: (12/2/21 - 12/2/22),33
Cambodia,Manchester United F.C.: (12/2/21 - 12/2/22),42
Kosovo,Manchester United F.C.: (12/2/21 - 12/2/22),28
Guatemala,Manchester United F.C.: (12/2/21 - 12/2/22),33
Madagascar,Manchester United F.C.: (12/2/21 - 12/2/22),25
Bolivia,Manchester United F.C.: (12/2/21 - 12/2/22),36
Ecuador,Manchester United F.C.: (12/2/21 - 12/2/22),37
Bulgaria,Liverpool F.C.: (12/2/21 - 12/2/22),31
Morocco,Liverpool F.C.: (12/2/21 - 12/2/22),25
North Macedonia,Manchester United F.C.: (12/2/21 - 12/2/22),30
Greece,Liverpool F.C.: (12/2/21 - 12/2/22),38
Åland Islands,Liverpool F.C.: (12/2/21 - 12/2/22),45
St. Helena,Manchester United F.C.: (12/2/21 - 12/2/22),27
Hong Kong,Manchester United F.C.: (12/2/21 - 12/2/22),33
Curaçao,Manchester United F.C.: (12/2/21 - 12/2/22),32
Portugal,Manchester United F.C.: (12/2/21 - 12/2/22),32
Macao,Manchester United F.C.: (12/2/21 - 12/2/22),39
Argentina,Manchester City F.C.: (12/2/21 - 12/2/22),44
Panama,Manchester United F.C.: (12/2/21 - 12/2/22),33
Israel,Liverpool F.C.: (12/2/21 - 12/2/22),34
Aruba,Manchester United F.C.: (12/2/21 - 12/2/22),34
Kazakhstan,Manchester United F.C.: (12/2/21 - 12/2/22),27
Papua New Guinea,Liverpool F.C.: (12/2/21 - 12/2/22),35
Sweden,Liverpool F.C.: (12/2/21 - 12/2/22),30
Chile,Manchester United F.C.: (12/2/21 - 12/2/22),30
Brazil,Liverpool F.C.: (12/2/21 - 12/2/22),24
Albania,Liverpool F.C.: (12/2/21 - 12/2/22),29
St. Barthélemy,Manchester City F.C.: (12/2/21 - 12/2/22),28
South Korea,Liverpool F.C.: (12/2/21 - 12/2/22),24
Denmark,Liverpool F.C.: (12/2/21 - 12/2/22),31
Venezuela,Manchester United F.C.: (12/2/21 - 12/2/22),35
Martinique,Liverpool F.C.: (12/2/21 - 12/2/22),25
Guadeloupe,Manchester United F.C.: (12/2/21 - 12/2/22),23
Moldova,Manchester United F.C.: (12/2/21 - 12/2/22),38
Armenia,Manchester United F.C.: (12/2/21 - 12/2/22),25
India,Manchester United F.C.: (12/2/21 - 12/2/22),45
Pakistan,Manchester United F.C.: (12/2/21 - 12/2/22),42
Iran,Manchester United F.C.: (12/2/21 - 12/2/22),32
Azerbaijan,Manchester United F.C.: (12/2/21 - 12/2/22),29
Italy,Liverpool F.C.: (12/2/21 - 12/2/22),38
Australia,Manchester United F.C.: (12/2/21 - 12/2/22),29
Réunion,Liverpool F.C.: (12/2/21 - 12/2/22),26
St. Martin,Liverpool F.C.: (12/2/21 - 12/2/22),32
Costa Rica,Manchester United F.C.: (12/2/21 - 12/2/22),33
Belgium,Manchester City F.C.: (12/2/21 - 12/2/22),28
Netherlands,Liverpool F.C.: (12/2/21 - 12/2/22),31
Croatia,Liverpool F.C.: (12/2/21 - 12/2/22),26
Turkey,Liverpool F.C.: (12/2/21 - 12/2/22),31
Bosnia & Herzegovina,Manchester United F.C.: (12/2/21 - 12/2/22),29
New Zealand,Manchester United F.C.: (12/2/21 - 12/2/22),29
Luxembourg,Manchester United F.C.: (12/2/21 - 12/2/22),28
Sint Maarten,Manchester United F.C.: (12/2/21 - 12/2/22),28
Spain,Manchester City F.C.: (12/2/21 - 12/2/22),31
Caribbean Netherlands,Manchester United F.C.: (12/2/21 - 12/2/22),32
Montenegro,Liverpool F.C.: (12/2/21 - 12/2/22),27
Liechtenstein,Liverpool F.C.: (12/2/21 - 12/2/22),43
France,Liverpool F.C.: (12/2/21 - 12/2/22),26
British Virgin Islands,Manchester United F.C.: (12/2/21 - 12/2/22),25
Mexico,Liverpool F.C.: (12/2/21 - 12/2/22),27
Hungary,Manchester United F.C.: (12/2/21 - 12/2/22),29
Austria,Liverpool F.C.: (12/2/21 - 12/2/22),32
Sri Lanka,Manchester United F.C.: (12/2/21 - 12/2/22),49
Switzerland,Liverpool F.C.: (12/2/21 - 12/2/22),29
Poland,Manchester United F.C.: (12/2/21 - 12/2/22),28
San Marino,Liverpool F.C.: (12/2/21 - 12/2/22),40
French Polynesia,Manchester City F.C.: (12/2/21 - 12/2/22),29
Serbia,Manchester United F.C.: (12/2/21 - 12/2/22),28
